_________________________________________________________________
|---N of Coord--|-------x-------|-------y-------|-------z-------|
|            112|          81.25|       -201.415|              0|
|            113|            100|       -201.415|              0|
|            114|        104.714|       -201.415|              0|
|            115|        111.502|       -201.415|              0|
|            116|        121.276|       -201.415|              0|
|            117|        135.351|       -201.415|              0|
|            118|        155.619|       -201.415|              0|
|            119|        184.806|       -201.415|              0|
|            120|        226.834|       -201.415|              0|
|            121|        287.355|       -201.415|              0|
|            122|        374.504|       -201.415|              0|
|            123|            500|       -201.415|              0|
|            124|           -500|       -163.226|              0|
|            125|        -354.32|       -163.226|              0|
|            126|       -261.086|       -163.226|              0|
|            127|       -201.415|       -163.226|              0|
|            128|       -163.226|       -163.226|              0|
|            129|       -138.785|       -163.226|              0|
|            130|       -123.143|       -163.226|              0|
|            131|       -113.132|       -163.226|              0|
|            132|       -106.725|       -163.226|              0|
|            133|       -102.624|       -163.226|              0|
|            134|           -100|       -163.226|              0|
|            135|            -75|       -163.226|              0|
|            136|            -50|       -163.226|              0|
|            137|         -31.25|       -163.226|              0|
|            138|          -12.5|       -163.226|              0|
|            139|           6.25|       -163.226|              0|
|            140|             25|       -163.226|              0|
|            141|          43.75|       -163.226|              0|
|            142|           62.5|       -163.226|              0|
|            143|          81.25|       -163.226|              0|
|            144|            100|       -163.226|              0|
|            145|        104.714|       -163.226|              0|
|            146|        111.502|       -163.226|              0|
|            147|        121.276|       -163.226|              0|
|            148|        135.351|       -163.226|              0|
|            149|        155.619|       -163.226|              0|
|            150|        184.806|       -163.226|              0|
|            151|        226.834|       -163.226|              0|
|            152|        287.355|       -163.226|              0|
|            153|        374.504|       -163.226|              0|
|            154|            500|       -163.226|              0|
|            155|           -500|       -138.785|              0|
|            156|        -354.32|       -138.785|              0|
|            157|       -261.086|       -138.785|              0|
|            158|       -201.415|       -138.785|              0|
|            159|       -163.226|       -138.785|              0|
|            160|       -138.785|       -138.785|              0|
|            161|       -123.143|       -138.785|              0|
|            162|       -113.132|       -138.785|              0|
|            163|       -106.725|       -138.785|              0|
|            164|       -102.624|       -138.785|              0|
|            165|           -100|       -138.785|              0|
|            166|            -75|       -138.785|              0|
|            167|            -50|       -138.785|              0|
|            168|         -31.25|       -138.785|              0|
|            169|          -12.5|       -138.785|              0|
|            170|           6.25|       -138.785|              0|
|            171|             25|       -138.785|              0|
|            172|          43.75|       -138.785|              0|
|            173|           62.5|       -138.785|              0|
|            174|          81.25|       -138.785|              0|
|            175|            100|       -138.785|              0|
|            176|        104.714|       -138.785|              0|
|            177|        111.502|       -138.785|              0|
|            178|        121.276|       -138.785|              0|
|            179|        135.351|       -138.785|              0|
|            180|        155.619|       -138.785|              0|
|            181|        184.806|       -138.785|              0|
|            182|        226.834|       -138.785|              0|
|            183|        287.355|       -138.785|              0|
|            184|        374.504|       -138.785|              0|
|            185|            500|       -138.785|              0|
|            186|           -500|       -123.143|              0|
|            187|        -354.32|       -123.143|              0|
|            188|       -261.086|       -123.143|              0|
|            189|       -201.415|       -123.143|              0|
|            190|       -163.226|       -123.143|              0|
|            191|       -138.785|       -123.143|              0|
|            192|       -123.143|       -123.143|              0|
|            193|       -113.132|       -123.143|              0|
|            194|       -106.725|       -123.143|              0|
|            195|       -102.624|       -123.143|              0|
|            196|           -100|       -123.143|              0|
|            197|            -75|       -123.143|              0|
|            198|            -50|       -123.143|              0|
|            199|         -31.25|       -123.143|              0|
|            200|          -12.5|       -123.143|              0|
|            201|           6.25|       -123.143|              0|
|            202|             25|       -123.143|              0|
|            203|          43.75|       -123.143|              0|
|            204|           62.5|       -123.143|              0|
|            205|          81.25|       -123.143|              0|
|            206|            100|       -123.143|              0|
|            207|        104.714|       -123.143|              0|
|            208|        111.502|       -123.143|              0|
|            209|        121.276|       -123.143|              0|
|            210|        135.351|       -123.143|              0|
|            211|        155.619|       -123.143|              0|
|            212|        184.806|       -123.143|              0|
|            213|        226.834|       -123.143|              0|
|            214|        287.355|       -123.143|              0|
|            215|        374.504|       -123.143|              0|
|            216|            500|       -123.143|              0|
|            217|           -500|       -113.132|              0|
|            218|        -354.32|       -113.132|              0|
|            219|       -261.086|       -113.132|              0|
|            220|       -201.415|       -113.132|              0|
|            221|       -163.226|       -113.132|              0|
|            222|       -138.785|       -113.132|              0|
|            223|       -123.143|       -113.132|              0|
|            224|       -113.132|       -113.132|              0|
|            225|       -106.725|       -113.132|              0|
|            226|       -102.624|       -113.132|              0|
|            227|           -100|       -113.132|              0|
|            228|            -75|       -113.132|              0|
|            229|            -50|       -113.132|              0|
|            230|         -31.25|       -113.132|              0|
|            231|          -12.5|       -113.132|              0|
|            232|           6.25|       -113.132|              0|
|            233|             25|       -113.132|              0|
|            234|          43.75|       -113.132|              0|
|            235|           62.5|       -113.132|              0|
|            236|          81.25|       -113.132|              0|
|            237|            100|       -113.132|              0|
|            238|        104.714|       -113.132|              0|
|            239|        111.502|       -113.132|              0|
|            240|        121.276|       -113.132|              0|
|            241|        135.351|       -113.132|              0|
|            242|        155.619|       -113.132|              0|
|            243|        184.806|       -113.132|              0|
|            244|        226.834|       -113.132|              0|
|            245|        287.355|       -113.132|              0|
|            246|        374.504|       -113.132|              0|
|            247|            500|       -113.132|              0|
|            248|           -500|       -106.725|              0|
|            249|        -354.32|       -106.725|              0|
|            250|       -261.086|       -106.725|              0|
|            251|       -201.415|       -106.725|              0|
|            252|       -163.226|       -106.725|              0|
|            253|       -138.785|       -106.725|              0|
|            254|       -123.143|       -106.725|              0|
|            255|       -113.132|       -106.725|              0|
|            256|       -106.725|       -106.725|              0|
|            257|       -102.624|       -106.725|              0|
|            258|           -100|       -106.725|              0|
|            259|            -75|       -106.725|              0|
|            260|            -50|       -106.725|              0|
|            261|         -31.25|       -106.725|              0|
|            262|          -12.5|       -106.725|              0|
|            263|           6.25|       -106.725|              0|
|            264|             25|       -106.725|              0|
|            265|          43.75|       -106.725|              0|
|            266|           62.5|       -106.725|              0|
|            267|          81.25|       -106.725|              0|
|            268|            100|       -106.725|              0|
|            269|        104.714|       -106.725|              0|
|            270|        111.502|       -106.725|              0|
|            271|        121.276|       -106.725|              0|
|            272|        135.351|       -106.725|              0|
|            273|        155.619|       -106.725|              0|
|            274|        184.806|       -106.725|              0|
|            275|        226.834|       -106.725|              0|
|            276|        287.355|       -106.725|              0|
|            277|        374.504|       -106.725|              0|
|            278|            500|       -106.725|              0|
|            279|           -500|       -102.624|              0|
|            280|        -354.32|       -102.624|              0|
|            281|       -261.086|       -102.624|              0|
|            282|       -201.415|       -102.624|              0|
|            283|       -163.226|       -102.624|              0|
|            284|       -138.785|       -102.624|              0|
|            285|       -123.143|       -102.624|              0|
|            286|       -113.132|       -102.624|              0|
|            287|       -106.725|       -102.624|              0|
|            288|       -102.624|       -102.624|              0|
|            289|           -100|       -102.624|              0|
|            290|            -75|       -102.624|              0|
|            291|            -50|       -102.624|              0|
|            292|         -31.25|       -102.624|              0|
|            293|          -12.5|       -102.624|              0|
|            294|           6.25|       -102.624|              0|
|            295|             25|       -102.624|              0|
|            296|          43.75|       -102.624|              0|
|            297|           62.5|       -102.624|              0|
|            298|          81.25|       -102.624|              0|
|            299|            100|       -102.624|              0|
|            300|        104.714|       -102.624|              0|
|            301|        111.502|       -102.624|              0|
|            302|        121.276|       -102.624|              0|
|            303|        135.351|       -102.624|              0|
|            304|        155.619|       -102.624|              0|
|            305|        184.806|       -102.624|              0|
|            306|        226.834|       -102.624|              0|
|            307|        287.355|       -102.624|              0|
|            308|        374.504|       -102.624|              0|
|            309|            500|       -102.624|              0|
|            310|           -500|           -100|              0|
|            311|        -354.32|           -100|              0|
|            312|       -261.086|           -100|              0|
|            313|       -201.415|           -100|              0|
|            314|       -163.226|           -100|              0|
|            315|       -138.785|           -100|              0|
|            316|       -123.143|           -100|              0|
|            317|       -113.132|           -100|              0|
|            318|       -106.725|           -100|              0|
|            319|       -102.624|           -100|              0|
|            320|           -100|           -100|              0|
|            321|            -75|           -100|              0|
|            322|            -50|           -100|              0|
|            323|         -31.25|           -100|              0|
|            324|          -12.5|           -100|              0|
|            325|           6.25|           -100|              0|
|            326|             25|           -100|              0|
|            327|          43.75|           -100|              0|
|            328|           62.5|           -100|              0|
|            329|          81.25|           -100|              0|
|            330|            100|           -100|              0|
|            331|        104.714|           -100|              0|
|            332|        111.502|           -100|              0|
|            333|        121.276|           -100|              0|
|            334|        135.351|           -100|              0|
|            335|        155.619|           -100|              0|
|            336|        184.806|           -100|              0|
|            337|        226.834|           -100|              0|
|            338|        287.355|           -100|              0|
|            339|        374.504|           -100|              0|
|            340|            500|           -100|              0|
|            341|           -500|            -75|              0|
|            342|        -354.32|            -75|              0|
|            343|       -261.086|            -75|              0|
|            344|       -201.415|            -75|              0|
|            345|       -163.226|            -75|              0|
|            346|       -138.785|            -75|              0|
|            347|       -123.143|            -75|              0|
|            348|       -113.132|            -75|              0|
|            349|       -106.725|            -75|              0|
|            350|       -102.624|            -75|              0|
|            351|           -100|            -75|              0|
|            352|            -75|            -75|              0|
|            353|            -50|            -75|              0|
|            354|         -31.25|            -75|              0|
|            355|          -12.5|            -75|              0|
|            356|           6.25|            -75|              0|
|            357|             25|            -75|              0|
|            358|          43.75|            -75|              0|
|            359|           62.5|            -75|              0|
|            360|          81.25|            -75|              0|
|            361|            100|            -75|              0|
|            362|        104.714|            -75|              0|
|            363|        111.502|            -75|              0|
|            364|        121.276|            -75|              0|
|            365|        135.351|            -75|              0|
|            366|        155.619|            -75|              0|
|            367|        184.806|            -75|              0|
|            368|        226.834|            -75|              0|
|            369|        287.355|            -75|              0|
|            370|        374.504|            -75|              0|
|            371|            500|            -75|              0|
|            372|           -500|            -50|              0|
|            373|        -354.32|            -50|              0|
|            374|       -261.086|            -50|              0|
|            375|       -201.415|            -50|              0|
|            376|       -163.226|            -50|              0|
|            377|       -138.785|            -50|              0|
|            378|       -123.143|            -50|              0|
|            379|       -113.132|            -50|              0|
|            380|       -106.725|            -50|              0|
|            381|       -102.624|            -50|              0|
|            382|           -100|            -50|              0|
|            383|            -75|            -50|              0|
|            384|            -50|            -50|              0|
|            385|         -31.25|            -50|              0|
|            386|          -12.5|            -50|              0|
|            387|           6.25|            -50|              0|
|            388|             25|            -50|              0|
|            389|          43.75|            -50|              0|
|            390|           62.5|            -50|              0|
|            391|          81.25|            -50|              0|
|            392|            100|            -50|              0|
|            393|        104.714|            -50|              0|
|            394|        111.502|            -50|              0|
|            395|        121.276|            -50|              0|
|            396|        135.351|            -50|              0|
|            397|        155.619|            -50|              0|
|            398|        184.806|            -50|              0|
|            399|        226.834|            -50|              0|
|            400|        287.355|            -50|              0|
|            401|        374.504|            -50|              0|
|            402|            500|            -50|              0|
|            403|           -500|            -25|              0|
|            404|        -354.32|            -25|              0|
|            405|       -261.086|            -25|              0|
|            406|       -201.415|            -25|              0|
|            407|       -163.226|            -25|              0|
|            408|       -138.785|            -25|              0|
|            409|       -123.143|            -25|              0|
|            410|       -113.132|            -25|              0|
|            411|       -106.725|            -25|              0|
|            412|       -102.624|            -25|              0|
|            413|           -100|            -25|              0|
|            414|            -75|            -25|              0|
|            415|            -50|            -25|              0|
|            416|         -31.25|            -25|              0|
|            417|          -12.5|            -25|              0|
|            418|           6.25|            -25|              0|
|            419|             25|            -25|              0|
|            420|          43.75|            -25|              0|
|            421|           62.5|            -25|              0|
|            422|          81.25|            -25|              0|
|            423|            100|            -25|              0|
|            424|        104.714|            -25|              0|
|            425|        111.502|            -25|              0|
|            426|        121.276|            -25|              0|
|            427|        135.351|            -25|              0|
|            428|        155.619|            -25|              0|
|            429|        184.806|            -25|              0|
|            430|        226.834|            -25|              0|
|            431|        287.355|            -25|              0|
|            432|        374.504|            -25|              0|
|            433|            500|            -25|              0|
|            434|           -500|              0|              0|
|            435|        -354.32|              0|              0|
|            436|       -261.086|              0|              0|
|            437|       -201.415|              0|              0|
|            438|       -163.226|              0|              0|
|            439|       -138.785|              0|              0|
|            440|       -123.143|              0|              0|
|            441|       -113.132|              0|              0|
|            442|       -106.725|              0|              0|
|            443|       -102.624|              0|              0|
|            444|           -100|              0|              0|
|            445|            -75|              0|              0|
|            446|            -50|              0|              0|
|            447|         -31.25|              0|              0|
|            448|          -12.5|              0|              0|
|            449|           6.25|              0|              0|
|            450|             25|              0|              0|
|            451|          43.75|              0|              0|
|            452|           62.5|              0|              0|
|            453|          81.25|              0|              0|
|            454|            100|              0|              0|
|            455|        104.714|              0|              0|
|            456|        111.502|              0|              0|
|            457|        121.276|              0|              0|
|            458|        135.351|              0|              0|
|            459|        155.619|              0|              0|
|            460|        184.806|              0|              0|
|            461|        226.834|              0|              0|
|            462|        287.355|              0|              0|
|            463|        374.504|              0|              0|
|            464|            500|              0|              0|
|            465|           -500|             25|              0|
|            466|        -354.32|             25|              0|
|            467|       -261.086|             25|              0|
|            468|       -201.415|             25|              0|
|            469|       -163.226|             25|              0|
|            470|       -138.785|             25|              0|
|            471|       -123.143|             25|              0|
|            472|       -113.132|             25|              0|
|            473|       -106.725|             25|              0|
|            474|       -102.624|             25|              0|
|            475|           -100|             25|              0|
|            476|            -75|             25|              0|
|            477|            -50|             25|              0|
|            478|         -31.25|             25|              0|
|            479|          -12.5|             25|              0|
|            480|           6.25|             25|              0|
|            481|             25|             25|              0|
|            482|          43.75|             25|              0|
|            483|           62.5|             25|              0|
|            484|          81.25|             25|              0|
|            485|            100|             25|              0|
|            486|        104.714|             25|              0|
|            487|        111.502|             25|              0|
|            488|        121.276|             25|              0|
|            489|        135.351|             25|              0|
|            490|        155.619|             25|              0|
|            491|        184.806|             25|              0|
|            492|        226.834|             25|              0|
|            493|        287.355|             25|              0|
|            494|        374.504|             25|              0|
|            495|            500|             25|              0|
|            496|           -500|             50|              0|
|            497|        -354.32|             50|              0|
|            498|       -261.086|             50|              0|
|            499|       -201.415|             50|              0|
|            500|       -163.226|             50|              0|
|            501|       -138.785|             50|              0|
|            502|       -123.143|             50|              0|
|            503|       -113.132|             50|              0|
|            504|       -106.725|             50|              0|
|            505|       -102.624|             50|              0|
|            506|           -100|             50|              0|
|            507|            -75|             50|              0|
|            508|            -50|             50|              0|
|            509|         -31.25|             50|              0|
|            510|          -12.5|             50|              0|
|            511|           6.25|             50|              0|
|            512|             25|             50|              0|
|            513|          43.75|             50|              0|
|            514|           62.5|             50|              0|
|            515|          81.25|             50|              0|
|            516|            100|             50|              0|
|            517|        104.714|             50|              0|
|            518|        111.502|             50|              0|
|            519|        121.276|             50|              0|
|            520|        135.351|             50|              0|
|            521|        155.619|             50|              0|
|            522|        184.806|             50|              0|
|            523|        226.834|             50|              0|
|            524|        287.355|             50|              0|
|            525|        374.504|             50|              0|
|            526|            500|             50|              0|
|            527|           -500|             75|              0|
|            528|        -354.32|             75|              0|
|            529|       -261.086|             75|              0|
|            530|       -201.415|             75|              0|
|            531|       -163.226|             75|              0|
|            532|       -138.785|             75|              0|
|            533|       -123.143|             75|              0|
|            534|       -113.132|             75|              0|
|            535|       -106.725|             75|              0|
|            536|       -102.624|             75|              0|
|            537|           -100|             75|              0|
|            538|            -75|             75|              0|
|            539|            -50|             75|              0|
|            540|         -31.25|             75|              0|
|            541|          -12.5|             75|              0|
|            542|           6.25|             75|              0|
|            543|             25|             75|              0|
|            544|          43.75|             75|              0|
|            545|           62.5|             75|              0|
|            546|          81.25|             75|              0|
|            547|            100|             75|              0|
|            548|        104.714|             75|              0|
|            549|        111.502|             75|              0|
|            550|        121.276|             75|              0|
|            551|        135.351|             75|              0|
|            552|        155.619|             75|              0|
|            553|        184.806|             75|              0|
|            554|        226.834|             75|              0|
|            555|        287.355|             75|              0|
|            556|        374.504|             75|              0|
|            557|            500|             75|              0|
|            558|           -500|            100|              0|
|            559|        -354.32|            100|              0|
|            560|       -261.086|            100|              0|
|            561|       -201.415|            100|              0|
|            562|       -163.226|            100|              0|
|            563|       -138.785|            100|              0|
|            564|       -123.143|            100|              0|
|            565|       -113.132|            100|              0|
|            566|       -106.725|            100|              0|
|            567|       -102.624|            100|              0|
|            568|           -100|            100|              0|
|            569|            -75|            100|              0|
|            570|            -50|            100|              0|
|            571|         -31.25|            100|              0|
|            572|          -12.5|            100|              0|
|            573|           6.25|            100|              0|
|            574|             25|            100|              0|
|            575|          43.75|            100|              0|
|            576|           62.5|            100|              0|
|            577|          81.25|            100|              0|
|            578|            100|            100|              0|
|            579|        104.714|            100|              0|
|            580|        111.502|            100|              0|
|            581|        121.276|            100|              0|
|            582|        135.351|            100|              0|
|            583|        155.619|            100|              0|
|            584|        184.806|            100|              0|
|            585|        226.834|            100|              0|
|            586|        287.355|            100|              0|
|            587|        374.504|            100|              0|
|            588|            500|            100|              0|
|            589|           -500|        104.714|              0|
|            590|        -354.32|        104.714|              0|
|            591|       -261.086|        104.714|              0|
|            592|       -201.415|        104.714|              0|
|            593|       -163.226|        104.714|              0|
|            594|       -138.785|        104.714|              0|
|            595|       -123.143|        104.714|              0|
|            596|       -113.132|        104.714|              0|
|            597|       -106.725|        104.714|              0|
|            598|       -102.624|        104.714|              0|
|            599|           -100|        104.714|              0|
|            600|            -75|        104.714|              0|
|            601|            -50|        104.714|              0|
|            602|         -31.25|        104.714|              0|
|            603|          -12.5|        104.714|              0|
|            604|           6.25|        104.714|              0|
|            605|             25|        104.714|              0|
|            606|          43.75|        104.714|              0|
|            607|           62.5|        104.714|              0|
|            608|          81.25|        104.714|              0|
|            609|            100|        104.714|              0|
|            610|        104.714|        104.714|              0|
|            611|        111.502|        104.714|              0|
|            612|        121.276|        104.714|              0|
|            613|        135.351|        104.714|              0|
|            614|        155.619|        104.714|              0|
|            615|        184.806|        104.714|              0|
|            616|        226.834|        104.714|              0|
|            617|        287.355|        104.714|              0|
|            618|        374.504|        104.714|              0|
|            619|            500|        104.714|              0|
|            620|           -500|        111.502|              0|
|            621|        -354.32|        111.502|              0|
|            622|       -261.086|        111.502|              0|
|            623|       -201.415|        111.502|              0|
|            624|       -163.226|        111.502|              0|
|            625|       -138.785|        111.502|              0|
|            626|       -123.143|        111.502|              0|
|            627|       -113.132|        111.502|              0|
|            628|       -106.725|        111.502|              0|
|            629|       -102.624|        111.502|              0|
|            630|           -100|        111.502|              0|
|            631|            -75|        111.502|              0|
|            632|            -50|        111.502|              0|
|            633|         -31.25|        111.502|              0|
|            634|          -12.5|        111.502|              0|
|            635|           6.25|        111.502|              0|
|            636|             25|        111.502|              0|
|            637|          43.75|        111.502|              0|
|            638|           62.5|        111.502|              0|
|            639|          81.25|        111.502|              0|
|            640|            100|        111.502|              0|
|            641|        104.714|        111.502|              0|
|            642|        111.502|        111.502|              0|
|            643|        121.276|        111.502|              0|
|            644|        135.351|        111.502|              0|
|            645|        155.619|        111.502|              0|
|            646|        184.806|        111.502|              0|
|            647|        226.834|        111.502|              0|
|            648|        287.355|        111.502|              0|
|            649|        374.504|        111.502|              0|
|            650|            500|        111.502|              0|
|            651|           -500|        121.276|              0|
|            652|        -354.32|        121.276|              0|
|            653|       -261.086|        121.276|              0|
|            654|       -201.415|        121.276|              0|
|            655|       -163.226|        121.276|              0|
|            656|       -138.785|        121.276|              0|
|            657|       -123.143|        121.276|              0|
|            658|       -113.132|        121.276|              0|
|            659|       -106.725|        121.276|              0|
|            660|       -102.624|        121.276|              0|
|            661|           -100|        121.276|              0|
|            662|            -75|        121.276|              0|
|            663|            -50|        121.276|              0|
|            664|         -31.25|        121.276|              0|
|            665|          -12.5|        121.276|              0|
|            666|           6.25|        121.276|              0|
|            667|             25|        121.276|              0|
|            668|          43.75|        121.276|              0|
|            669|           62.5|        121.276|              0|
